Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
SXGLF,600 GROUP PLC,Pink Current,0.000000,,0,Foreign Ordinary Shares,United Kingdom,
SXNTF,SIXTY NORTH GOLD MNG LTD,Pink Current,0.092900,18.798000,14500,Foreign Ordinary Shares,Canada,British Columbia
SXOOF,ST GEORGES ECO MNG CORP,OTCQB,0.109200,-0.736300,59098,Foreign Ordinary Shares,Canada,Quebec
SXPHF,SHANDONG XINHUA PHARM CO,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
SXYAY,SIKA AG ADR,Pink Limited,27.720000,1.057200,62913,ADRs,Switzerland,
SYAAF,SYRAH RESOURCES LTD,Pink Current,0.619000,1.475400,151880,Foreign Ordinary Shares,Australia,Victoria
SYANY,SYDBANK A/S UNSP/ADR,Pink Limited,8.900000,,0,ADRs,Denmark,
SYAXF,SAYONA MINING LTD ORD SHS,OTCQB,0.123450,2.875000,391313,Foreign Ordinary Shares,Australia,Queensland
SYBE,SYBLEU INC,Pink Current,0.176420,-7.147400,225,Common Stock,USA,New York
SYBJF,SECURITY BANK CORP,Pink Limited,1.460000,,0,Foreign Ordinary Shares,Philippines,
SYCHF,SANYO CHEMICAL INDUS ORD,Pink Limited,32.550000,,0,Foreign Ordinary Shares,,
SYDRF,DELOTA CORP,Pink Current,0.100000,,0,Foreign Ordinary Shares,Canada,Ontario
SYGCF,SYLLA GOLD CORP,OTCQB,0.061900,,0,Foreign Ordinary Shares,Canada,Nova Scotia
SYGGF,SYNAIRGEN PLC ORD,Pink Current,0.070000,-18.319700,1250,Foreign Ordinary Shares,,
SYHBF,SKYHARBOUR RES LTD ORD,OTCQX International,0.260000,4.000000,16200,Foreign Ordinary Shares,Canada,British Columbia
SYHLF,SYMPHONY HOLDINGS ORD,Pink Current,0.074700,,0,Foreign Ordinary Shares,China,Hong Kong
SYHMY,SYNTHOMER PLC UNSP/ADR,Pink Current,18.000000,,0,ADRs,United Kingdom,
SYIEF,SYMRISE AG ORD,Pink Current,101.500000,,360,Foreign Ordinary Shares,Germany,
SYIEY,SYMRISE AG UNSP/ADR,Pink Current,25.680000,0.234200,110848,ADRs,Germany,
SYKKF,SOLITON SYSTEMS KK ORD,Pink Limited,8.750000,,0,Foreign Ordinary Shares,,
SYKWF,SKY NETWORK TV,Pink Current,1.520000,,0,Foreign Ordinary Shares,New Zealand,
SYMQY,SYMBIO PHARMS LTD S/ADR,Pink Current,2.920000,,0,ADRs,,
SYNNF,SYMPHONY INTL HLDGS ORD,Pink Current,0.500000,,0,Foreign Ordinary Shares,British Virgin Islands,
SYPLF,SANYO SPECIAL STEEL ORD,Pink Limited,3.821600,,0,Foreign Ordinary Shares,Japan,
SYRVF,SACYR SA,Pink Limited,2.720000,,0,Foreign Ordinary Shares,Spain,
SYSX,SYSOREX INC,Pink Current,0.000700,0.000000,2000087,Common Stock,USA,Virginia
SYUP,ANBC INC,Pink Limited,0.010800,,0,Common Stock,China,
SYXTF,SYNNEX TECH INTL ORD,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Taiwan,
SYXTY,SYNNEX TECH INTL GDR 144A,Pink Limited,0.000000,,0,New York Registry Shs,Taiwan,
SYXZF,SYNNEX TECH INTL GDR,Pink Limited,0.000100,,0,New York Registry Shs,Taiwan,
SYYNY,SYN PROP E TECH SA S/GDR,Pink Current,3.160000,,0,ADRs,Brazil,
SYYYF,SYNTHOMER PLC ORD,Pink Current,0.959500,,0,Foreign Ordinary Shares,United Kingdom,
SYZLF,SYLOGIST LTD,Pink Current,5.360000,,0,Foreign Ordinary Shares,Canada,Alberta
SZCRF,SCOR SHS PROV REGPT,Pink Current,28.300000,,0,Foreign Ordinary Shares,France,
SZDEF,DONGJIANG ENVIRNMNTL H,Pink Current,0.520000,,0,Foreign Ordinary Shares,,
SZENF,SEAZEN GROUP LTD,Pink Current,0.700000,,0,Foreign Ordinary Shares,,
SZGPF,SALZGITTER AG AKT SHS,Pink Current,39.660000,,0,Foreign Ordinary Shares,Germany,
SZGPY,SALZGITTER AG UNSP/ADR,Pink Current,3.440000,,0,ADRs,Germany,
SZHFF,SOJITZ CORP NEW,Pink Limited,20.580000,,0,Foreign Ordinary Shares,Japan,
SZHFY,SOJITZ CORP UNSP/ADR,Pink Limited,0.000000,,0,ADRs,Japan,
SZHIF,SHENZHOU INTL GRP HLDGS,Pink Current,9.730000,-26.787100,700,Foreign Ordinary Shares,China,
SZIHF,SHENZHEN INTL HLDGS ORD,Pink Limited,0.822200,,0,Foreign Ordinary Shares,China,
SZKMF,SUZUKI MOTOR CO,Pink Limited,36.998000,,0,Foreign Ordinary Shares,Japan,
SZKMY,SUZUKI MOTOR CO UNSP/ADR,Pink Limited,151.845000,-1.908900,3557,ADRs,Japan,
SZLMY,SWISS LIFE HLDG UNSP/ADR,Pink Limited,28.350000,-1.869200,5656,ADRs,Switzerland,
SZLSF,STAGEZERO LIFE SCIENCES,OTCQB,0.061000,19.373800,122,Foreign Ordinary Shares,Canada,Ontario
SZNTF,SHENZHEN INVST TEMP SHS,Pink Current,0.197300,,0,Foreign Ordinary Shares,China,
SZOXF,DB CRUDE OIL SHORT ETN,Pink Current,11.500000,,0,Other Security Type,,
SZSMF,SANTACRUZ SILVER MNG ORD,Pink Current,0.240000,2.127700,87500,Foreign Ordinary Shares,Canada,British Columbia
SZUKF,SUZUKEN CO LTD,Pink Limited,28.890000,,0,Foreign Ordinary Shares,,
TAATF,TATA ELECTRONIC COS S/GDR,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
TABCF,TABCORP HOLDINGS LTD ORD,Pink Current,0.705720,,0,Foreign Ordinary Shares,Australia,
TACBY,TABCORP HOLDINGS UNSP/ADR,Pink Current,1.490000,,66,ADRs,Australia,
TADRF,TADIRAN HLDGS LTD,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
TAER,TARSIER LTD,Pink Current,0.099900,,0,Common Stock,USA,New York
TAGOF,TAG IMMOBILIEN AG,Pink Current,9.070000,,0,Foreign Ordinary Shares,,
TAGP,TRISTAR ACQUISITION GRP,Pink Current,0.178100,,0,Common Stock,USA,Nevada
TAGYY,TAG IMMOBILIEN AG U/ADR,Pink Current,4.900000,,0,ADRs,,
TAHCF,TANSEISHA CO LTD ORD,Pink Limited,6.100000,,0,Foreign Ordinary Shares,,
TAHIF,TAI HING GROUP HOLDINGS,Pink Current,0.000000,,0,Other Security Type,,
TAICF,TAI CHEUNG HLDGS LTD ORD,Pink Current,0.600000,,0,Foreign Ordinary Shares,China,
